Processes,Latency
2,0.20
4,0.36
6,0.48
8,0.69
10,0.96
12,0.82
14,0.80
16,1.38
18,2.46
20,2.26
22,2.05
24,1.91
26,1.84
28,1.68
30,1.58
32,2.02
34,4.20
36,3.94
38,3.61
40,3.44
42,3.24
44,3.02
46,2.96
48,2.91
