Processes,Latency
2,0.21
4,0.20
6,0.33
8,0.74
10,0.85
12,0.83
14,0.99
16,1.58
18,2.22
20,2.39
22,2.38
24,2.57
26,2.34
28,2.40
30,2.82
32,3.32
34,5.14
36,5.20
38,4.44
40,4.53
42,4.80
44,5.02
46,4.82
48,5.21
