Processes,Size,Latency
34,32,5.36
34,64,5.06
34,128,9.03
34,256,9.31
34,512,10.39
34,1024,13.10
34,2048,15.75
34,4096,21.18
34,8192,32.33
34,16384,21.93
34,32768,44.05
34,65536,67.89
34,131072,126.22
34,262144,162.98
34,524288,267.78
34,1048576,516.09
36,2,5.02
36,4,4.67
36,8,4.68
36,16,4.70
36,32,5.22
36,64,5.10
36,128,8.96
36,256,9.41
36,512,10.57
36,1024,13.36
36,2048,16.50
36,4096,22.06
36,8192,33.53
36,16384,21.58
36,32768,42.90
36,65536,57.29
36,131072,132.89
36,262144,187.15
36,524288,341.75
36,1048576,613.23
38,2,4.44
38,4,4.27
38,8,4.25
38,16,4.30
38,32,4.84
38,64,4.77
38,128,8.70
38,256,9.06
38,512,10.23
38,1024,13.25
38,2048,16.34
38,4096,22.85
38,8192,33.93
38,16384,22.99
38,32768,41.78
38,65536,58.99
38,131072,130.76
38,262144,250.49
38,524288,382.06
38,1048576,708.97
40,2,4.53
40,4,4.19
40,8,4.36
40,16,4.32
40,32,4.79
40,64,4.71
40,128,8.98
40,256,9.30
40,512,10.39
40,1024,13.61
40,2048,16.93
40,4096,23.54
40,8192,35.60
40,16384,23.87
40,32768,38.08
40,65536,90.61
40,131072,151.81
40,262144,235.52
40,524288,414.58
40,1048576,819.33
42,2,4.66
42,4,4.44
42,8,4.36
42,16,4.30
42,32,4.79
42,64,4.88
42,128,9.38
42,256,9.78
42,512,10.85
42,1024,14.21
42,2048,17.59
42,4096,24.36
42,8192,37.46
42,16384,23.73
42,32768,43.57
42,65536,92.47
42,131072,146.24
42,262144,249.34
42,524288,453.29
42,1048576,917.37
44,2,4.70
44,4,4.38
44,8,4.46
44,16,4.46
44,32,4.90
44,64,4.97
44,128,9.51
44,256,9.96
44,512,11.19
44,1024,14.43
44,2048,18.19
44,4096,25.38
44,8192,38.02
44,16384,24.88
44,32768,46.68
44,65536,95.25
44,131072,167.32
44,262144,317.38
44,524288,531.85
44,1048576,1042.69
46,2,4.78
46,4,4.81
46,8,4.72
46,16,4.66
46,32,5.34
46,64,5.22
46,128,10.28
46,256,10.46
46,512,11.81
46,1024,15.35
46,2048,19.68
46,4096,26.75
46,8192,39.96
46,16384,25.44
46,32768,47.75
46,65536,100.43
46,131072,177.11
46,262144,317.37
46,524288,590.33
46,1048576,1160.47
48,2,5.14
48,4,5.08
48,8,4.92
48,16,5.06
48,32,5.44
48,64,5.41
48,128,10.55
48,256,11.00
48,512,12.40
48,1024,15.85
48,2048,19.71
48,4096,27.38
48,8192,41.25
48,16384,26.82
48,32768,44.97
48,65536,82.97
48,131072,199.60
48,262144,341.85
48,524288,636.57
48,1048576,1270.38
