Processes,Size,Latency
2,2,0.21
2,4,0.21
2,8,0.21
2,16,0.21
2,32,0.25
2,64,0.28
2,128,0.33
2,256,0.35
2,512,0.37
2,1024,0.44
2,2048,0.57
2,4096,0.90
2,8192,1.64
2,16384,2.96
2,32768,5.36
2,65536,10.57
2,131072,19.74
2,262144,24.23
2,524288,49.03
2,1048576,111.73
4,2,0.34
4,4,0.36
4,8,0.34
4,16,0.38
4,32,0.38
4,64,0.46
4,128,0.58
4,256,0.61
4,512,0.78
4,1024,1.04
4,2048,1.61
4,4096,2.62
4,8192,4.26
4,16384,7.48
4,32768,13.94
4,65536,25.40
4,131072,40.32
4,262144,76.86
4,524288,166.02
4,1048576,379.83
6,2,0.47
6,4,0.46
6,8,0.48
6,16,0.50
6,32,0.51
6,64,0.69
6,128,0.80
6,256,0.89
6,512,1.06
6,1024,1.42
6,2048,2.22
6,4096,3.63
6,8192,5.57
6,16384,9.98
6,32768,18.24
6,65536,34.64
6,131072,52.34
6,262144,115.08
6,524288,266.09
6,1048576,642.41
8,2,0.84
8,4,0.71
8,8,0.74
8,16,0.79
8,32,0.89
8,64,1.04
8,128,1.19
8,256,1.31
8,512,1.64
8,1024,2.27
8,2048,3.60
8,4096,5.33
8,8192,8.50
8,16384,15.16
8,32768,28.31
8,65536,45.27
8,131072,88.99
8,262144,210.75
8,524288,453.44
8,1048576,1282.18
10,2,1.00
10,4,1.00
10,8,1.00
10,16,1.02
10,32,1.13
10,64,1.41
10,128,1.55
10,256,1.69
10,512,2.19
10,1024,2.72
10,2048,4.18
10,4096,5.87
10,8192,9.88
10,16384,16.76
10,32768,30.98
10,65536,51.79
10,131072,90.90
10,262144,226.63
10,524288,501.58
10,1048576,1573.92
12,2,0.80
12,4,0.83
12,8,0.89
12,16,0.90
12,32,1.08
12,64,1.20
12,128,1.42
12,256,1.62
12,512,1.98
12,1024,2.87
12,2048,4.39
12,4096,6.77
12,8192,11.21
12,16384,20.20
12,32768,37.90
12,65536,54.25
12,131072,123.30
12,262144,296.52
12,524288,670.51
12,1048576,2206.83
14,2,0.78
14,4,0.79
14,8,0.84
14,16,0.94
14,32,1.07
14,64,1.36
14,128,1.70
14,256,1.85
14,512,2.32
14,1024,3.42
14,2048,5.44
14,4096,8.57
14,8192,14.56
14,16384,26.81
14,32768,50.80
14,65536,77.33
14,131072,233.80
14,262144,456.42
14,524288,997.90
14,1048576,2928.56
16,2,1.32
16,4,1.43
16,8,1.44
16,16,1.56
16,32,1.97
16,64,2.33
16,128,2.43
16,256,2.80
16,512,3.55
16,1024,5.14
16,2048,7.66
16,4096,11.88
16,8192,20.09
16,16384,38.00
16,32768,59.24
16,65536,159.69
16,131072,312.94
16,262144,642.03
16,524288,1386.93
16,1048576,3852.39
18,2,2.46
18,4,2.53
18,8,2.55
18,16,3.08
18,32,3.13
18,64,3.69
18,128,4.00
18,256,4.33
18,512,5.43
18,1024,7.02
18,2048,9.85
18,4096,15.03
18,8192,24.51
18,16384,45.90
18,32768,76.87
18,65536,195.58
18,131072,295.72
18,262144,698.58
18,524288,1377.10
18,1048576,3695.95
20,2,2.27
20,4,2.30
20,8,2.47
20,16,2.87
20,32,3.36
20,64,3.45
20,128,3.88
20,256,4.43
20,512,5.38
20,1024,7.38
20,2048,10.40
20,4096,16.68
20,8192,28.66
20,16384,54.11
20,32768,93.44
20,65536,139.33
20,131072,305.03
20,262144,653.90
20,524288,1433.83
20,1048576,4174.19
22,2,2.05
22,4,2.11
22,8,2.24
22,16,2.62
22,32,3.11
22,64,3.29
22,128,3.81
22,256,4.50
22,512,5.45
22,1024,7.53
22,2048,11.59
22,4096,19.30
22,8192,33.19
22,16384,62.13
22,32768,109.47
22,65536,165.09
22,131072,325.39
22,262144,742.00
22,524288,1481.73
22,1048576,4277.59
24,2,1.92
24,4,2.09
24,8,2.20
24,16,2.83
24,32,2.97
24,64,3.16
24,128,3.78
24,256,4.36
24,512,5.72
24,1024,8.13
24,2048,12.76
24,4096,21.50
24,8192,38.39
24,16384,74.11
24,32768,72.34
24,65536,158.08
24,131072,365.47
24,262144,764.29
24,524288,1706.57
24,1048576,5079.05
26,2,1.74
26,4,1.82
26,8,2.31
26,16,2.24
26,32,2.66
26,64,2.88
26,128,3.49
26,256,4.16
26,512,5.78
26,1024,8.98
26,2048,14.11
26,4096,24.25
26,8192,42.95
26,16384,82.28
26,32768,73.79
26,65536,173.08
26,131072,424.29
26,262144,831.97
26,524288,1865.56
26,1048576,5505.28
28,2,1.67
28,4,1.71
28,8,2.12
28,16,2.07
28,32,2.48
28,64,2.87
28,128,3.48
28,256,4.27
28,512,6.23
28,1024,9.41
28,2048,15.71
28,4096,26.59
28,8192,49.44
28,16384,90.67
28,32768,79.40
28,65536,190.29
28,131072,418.44
28,262144,890.08
28,524288,2080.80
28,1048576,5997.65
30,2,1.52
30,4,1.90
30,8,1.89
30,16,2.06
30,32,2.42
30,64,2.92
30,128,3.63
30,256,4.59
30,512,6.56
30,1024,9.97
30,2048,16.93
30,4096,29.26
30,8192,53.79
30,16384,102.69
30,32768,83.88
30,65536,207.25
30,131072,486.63
30,262144,967.65
30,524288,2393.21
30,1048576,6561.33
32,2,2.02
32,4,2.05
32,8,3.01
32,16,2.72
32,32,3.25
32,64,3.74
32,128,4.70
32,256,5.98
32,512,8.28
32,1024,12.52
32,2048,19.94
32,4096,33.94
32,8192,61.86
32,16384,49.20
32,32768,103.06
32,65536,228.17
32,131072,492.81
32,262144,1051.43
32,524288,2792.86
32,1048576,7219.14
34,2,4.18
34,4,4.33
34,8,4.67
34,16,4.88
34,32,5.33
34,64,6.03
34,128,6.85
34,256,8.10
34,512,10.45
34,1024,14.36
34,2048,21.97
34,4096,35.09
34,8192,61.10
34,16384,53.52
34,32768,104.45
34,65536,232.11
34,131072,529.81
34,262144,1049.03
34,524288,2757.85
34,1048576,7164.79
36,2,3.95
36,4,4.40
36,8,4.49
36,16,4.67
36,32,5.16
36,64,5.89
36,128,6.69
36,256,7.83
36,512,10.08
36,1024,14.12
36,2048,21.06
36,4096,34.10
36,8192,59.75
36,16384,55.85
36,32768,103.59
36,65536,260.88
36,131072,501.52
36,262144,1072.68
36,524288,2740.17
36,1048576,7110.14
38,2,3.70
38,4,3.87
38,8,4.20
38,16,4.30
38,32,4.92
38,64,5.66
38,128,6.39
38,256,7.66
38,512,10.21
38,1024,13.82
38,2048,20.91
38,4096,33.58
38,8192,58.69
38,16384,55.94
38,32768,110.20
38,65536,251.01
38,131072,511.35
38,262144,1059.62
38,524288,2694.96
38,1048576,7029.95
40,2,3.14
40,4,3.23
40,8,3.30
40,16,3.39
40,32,3.81
40,64,4.23
40,128,4.92
40,256,5.87
40,512,7.67
40,1024,10.39
40,2048,14.59
40,4096,22.11
40,8192,38.00
40,16384,56.92
40,32768,128.15
40,65536,250.24
40,131072,519.05
40,262144,1265.81
40,524288,3364.75
40,1048576,7477.21
42,2,2.98
42,4,2.98
42,8,3.15
42,16,3.28
42,32,3.76
42,64,4.03
42,128,4.87
42,256,5.82
42,512,7.69
42,1024,10.68
42,2048,14.86
42,4096,22.54
42,8192,37.48
42,16384,59.44
42,32768,127.67
42,65536,258.29
42,131072,529.33
42,262144,1292.53
42,524288,3332.78
42,1048576,7409.89
44,2,3.03
44,4,2.92
44,8,3.06
44,16,3.16
44,32,3.63
44,64,4.05
44,128,4.74
44,256,5.76
44,512,7.71
44,1024,10.88
44,2048,15.11
44,4096,22.84
44,8192,38.26
44,16384,61.37
44,32768,133.71
44,65536,262.69
44,131072,551.65
44,262144,1315.45
44,524288,3372.73
44,1048576,7558.48
46,2,2.71
46,4,2.90
46,8,2.99
46,16,3.17
46,32,3.59
46,64,3.92
46,128,4.66
46,256,5.79
46,512,7.78
46,1024,11.80
46,2048,15.96
46,4096,23.90
46,8192,39.72
46,16384,65.28
46,32768,142.78
46,65536,269.92
46,131072,569.96
46,262144,1383.84
46,524288,3397.56
46,1048576,7803.01
48,2,2.78
48,4,2.85
48,8,2.97
48,16,3.21
48,32,3.55
48,64,3.87
48,128,4.72
48,256,5.91
48,512,7.97
48,1024,11.22
48,2048,15.78
48,4096,24.83
48,8192,41.71
48,16384,81.12
48,32768,144.94
48,65536,292.14
48,131072,606.10
48,262144,1446.83
48,524288,3646.46
48,1048576,8193.61

