Processes,Size,Latency
2,2,0.20
2,4,0.20
2,8,0.20
2,16,0.20
2,32,0.25
2,64,0.25
2,128,0.32
2,256,0.32
2,512,0.38
2,1024,0.42
2,2048,0.58
2,4096,0.88
2,8192,1.63
2,16384,2.93
2,32768,5.38
2,65536,10.61
2,131072,20.59
2,262144,24.60
2,524288,49.11
2,1048576,114.71
4,2,0.26
4,4,0.20
4,8,0.21
4,16,0.20
4,32,0.29
4,64,0.27
4,128,0.46
4,256,0.47
4,512,0.57
4,1024,0.78
4,2048,1.07
4,4096,1.78
4,8192,2.88
4,16384,5.51
4,32768,10.05
4,65536,19.39
4,131072,37.36
4,262144,49.55
4,524288,99.12
4,1048576,221.86
6,2,0.31
6,4,0.33
6,8,0.31
6,16,0.32
6,32,0.44
6,64,0.40
6,128,0.69
6,256,0.73
6,512,0.84
6,1024,1.09
6,2048,1.60
6,4096,2.51
6,8192,4.01
6,16384,7.40
6,32768,13.77
6,65536,26.45
6,131072,53.96
6,262144,65.07
6,524288,147.14
6,1048576,351.00
8,2,0.68
8,4,0.69
8,8,0.63
8,16,0.80
8,32,0.84
8,64,0.78
8,128,1.35
8,256,1.36
8,512,1.35
8,1024,1.86
8,2048,2.50
8,4096,3.51
8,8192,5.42
8,16384,9.74
8,32768,18.81
8,65536,34.10
8,131072,71.28
8,262144,88.32
8,524288,179.60
8,1048576,468.40
10,2,0.92
10,4,0.83
10,8,0.87
10,16,0.88
10,32,1.03
10,64,1.09
10,128,1.53
10,256,1.70
10,512,1.74
10,1024,2.36
10,2048,2.99
10,4096,4.30
10,8192,6.48
10,16384,11.67
10,32768,21.58
10,65536,41.06
10,131072,90.69
10,262144,109.45
10,524288,217.28
10,1048576,596.25
12,2,0.91
12,4,0.91
12,8,0.88
12,16,0.90
12,32,1.16
12,64,1.02
12,128,1.90
12,256,1.88
12,512,1.98
12,1024,2.71
12,2048,3.36
12,4096,4.90
12,8192,7.46
12,16384,13.47
12,32768,25.16
12,65536,48.91
12,131072,109.40
12,262144,121.87
12,524288,260.92
12,1048576,805.46
14,2,1.01
14,4,0.97
14,8,0.96
14,16,0.93
14,32,1.19
14,64,1.15
14,128,2.12
14,256,2.14
14,512,2.39
14,1024,3.29
14,2048,4.14
14,4096,5.88
14,8192,9.09
14,16384,16.61
14,32768,31.29
14,65536,63.61
14,131072,134.87
14,262144,142.17
14,524288,292.70
14,1048576,915.47
16,2,1.79
16,4,1.74
16,8,1.69
16,16,1.91
16,32,1.97
16,64,1.90
16,128,3.31
16,256,3.47
16,512,3.74
16,1024,4.75
16,2048,5.76
16,4096,7.93
16,8192,11.98
16,16384,21.30
16,32768,39.81
16,65536,79.76
16,131072,175.03
16,262144,164.20
16,524288,338.85
16,1048576,1029.65
18,2,2.37
18,4,2.27
18,8,2.62
18,16,2.29
18,32,2.71
18,64,2.60
18,128,3.95
18,256,3.97
18,512,4.49
18,1024,5.73
18,2048,6.83
18,4096,9.39
18,8192,14.02
18,16384,26.08
18,32768,48.38
18,65536,96.97
18,131072,204.93
18,262144,180.54
18,524288,372.12
18,1048576,1138.45
20,2,2.52
20,4,2.41
20,8,2.51
20,16,2.43
20,32,2.86
20,64,2.78
20,128,4.62
20,256,4.75
20,512,5.30
20,1024,6.77
20,2048,8.14
20,4096,11.17
20,8192,16.97
20,16384,30.65
20,32768,57.80
20,65536,118.11
20,131072,243.91
20,262144,199.64
20,524288,391.61
20,1048576,1246.78
22,2,2.58
22,4,2.60
22,8,2.75
22,16,2.52
22,32,3.05
22,64,2.98
22,128,5.18
22,256,5.32
22,512,6.00
22,1024,7.73
22,2048,9.23
22,4096,12.60
22,8192,18.96
22,16384,35.33
22,32768,66.13
22,65536,139.35
22,131072,273.01
22,262144,216.15
22,524288,427.42
22,1048576,1363.44
24,2,2.87
24,4,2.86
24,8,2.87
24,16,2.92
24,32,3.41
24,64,3.28
24,128,6.04
24,256,6.03
24,512,6.84
24,1024,8.77
24,2048,10.62
24,4096,14.48
24,8192,21.56
24,16384,39.11
24,32768,74.59
24,65536,154.94
24,131072,312.57
24,262144,234.91
24,524288,466.65
24,1048576,1526.69
26,2,2.74
26,4,2.58
26,8,2.56
26,16,2.57
26,32,3.42
26,64,3.11
26,128,5.99
26,256,6.17
26,512,7.08
26,1024,9.19
26,2048,11.23
26,4096,15.33
26,8192,23.89
26,16384,42.29
26,32768,81.67
26,65536,171.34
26,131072,340.32
26,262144,254.96
26,524288,505.22
26,1048576,1640.43
28,2,2.69
28,4,2.72
28,8,2.69
28,16,2.69
28,32,3.16
28,64,3.21
28,128,6.33
28,256,6.48
28,512,7.53
28,1024,9.73
28,2048,12.15
28,4096,16.77
28,8192,25.39
28,16384,47.39
28,32768,91.23
28,65536,189.07
28,131072,370.30
28,262144,280.48
28,524288,556.15
28,1048576,1776.44
30,2,3.46
30,4,3.14
30,8,3.15
30,16,3.19
30,32,3.85
30,64,3.87
30,128,7.06
30,256,7.31
30,512,8.32
30,1024,10.61
30,2048,13.25
30,4096,18.78
30,8192,28.08
30,16384,51.60
30,32768,97.65
30,65536,200.89
30,131072,401.26
30,262144,299.08
30,524288,601.28
30,1048576,1877.76
32,2,3.60
32,4,3.65
32,8,3.52
32,16,3.53
32,32,4.08
32,64,4.15
32,128,7.84
32,256,8.02
32,512,9.15
32,1024,11.71
32,2048,14.47
32,4096,20.35
32,8192,30.28
32,16384,56.01
32,32768,109.59
32,65536,224.26
32,131072,445.26
32,262144,329.98
32,524288,656.83
32,1048576,2022.66
34,2,5.21
34,4,5.09
34,8,5.03
34,16,4.99
34,32,5.71
34,64,5.34
34,128,8.99
34,256,9.20
34,512,10.44
34,1024,13.06
34,2048,16.15
34,4096,21.53
34,8192,31.76
34,16384,59.49
34,32768,117.47
34,65536,237.48
34,131072,472.62
34,262144,354.31
34,524288,699.34
34,1048576,2192.04
36,2,5.10
36,4,4.94
36,8,4.71
36,16,4.88
36,32,5.50
36,64,5.44
36,128,9.14
36,256,9.33
36,512,10.74
36,1024,13.28
36,2048,16.10
36,4096,22.05
36,8192,33.18
36,16384,62.98
36,32768,124.05
36,65536,249.25
36,131072,498.01
36,262144,378.83
36,524288,760.00
36,1048576,2345.24
38,2,4.43
38,4,4.33
38,8,4.32
38,16,4.32
38,32,4.95
38,64,5.06
38,128,8.79
38,256,9.12
38,512,10.31
38,1024,13.16
38,2048,16.85
38,4096,23.43
38,8192,34.93
38,16384,64.51
38,32768,130.26
38,65536,260.27
38,131072,521.44
38,262144,397.55
38,524288,807.74
38,1048576,2430.62
40,2,4.71
40,4,4.30
40,8,4.25
40,16,4.26
40,32,5.04
40,64,4.97
40,128,8.88
40,256,9.38
40,512,10.51
40,1024,13.61
40,2048,17.04
40,4096,23.66
40,8192,35.80
40,16384,67.13
40,32768,135.19
40,65536,273.24
40,131072,552.21
40,262144,423.05
40,524288,872.96
40,1048576,2546.62
42,2,4.76
42,4,4.55
42,8,4.58
42,16,4.55
42,32,5.19
42,64,5.08
42,128,9.31
42,256,9.80
42,512,10.96
42,1024,14.07
42,2048,17.69
42,4096,24.41
42,8192,36.71
42,16384,69.84
42,32768,140.87
42,65536,284.77
42,131072,580.97
42,262144,449.62
42,524288,917.49
42,1048576,2665.44
44,2,4.68
44,4,4.66
44,8,4.60
44,16,4.56
44,32,5.37
44,64,5.31
44,128,9.55
44,256,10.06
44,512,11.16
44,1024,14.48
44,2048,18.72
44,4096,25.32
44,8192,38.92
44,16384,71.99
44,32768,146.81
44,65536,295.69
44,131072,637.35
44,262144,481.28
44,524288,974.64
44,1048576,2790.18
46,2,5.17
46,4,5.11
46,8,5.25
46,16,5.19
46,32,5.43
46,64,5.52
