Processes,Latency
2,0.21
4,0.34
6,0.48
8,0.72
10,0.94
12,0.82
14,0.80
16,1.29
18,2.53
20,2.18
22,2.04
24,1.95
26,1.79
28,1.60
30,1.54
32,2.06
34,4.12
36,3.96
38,3.59
40,3.42
42,3.23
44,2.97
46,3.01
48,2.90
