Processes,Latency
2,0.20
4,0.22
6,0.34
8,0.67
10,0.89
12,0.89
14,1.02
16,1.80
18,2.33
20,2.40
22,2.63
24,2.83
26,2.55
28,3.14
30,3.29
32,3.57
34,5.30
36,4.99
38,4.49
40,4.58
42,4.84
44,5.20
46,5.23
48,5.39
