Processes,Size,Latency
2,2,0.22
2,4,0.20
2,8,0.21
2,16,0.20
2,32,0.25
2,64,0.27
2,128,0.32
2,256,0.32
2,512,0.36
2,1024,0.42
2,2048,0.57
2,4096,0.88
2,8192,1.62
2,16384,2.91
2,32768,5.24
2,65536,10.29
2,131072,14.58
2,262144,24.29
2,524288,48.16
2,1048576,115.33
4,2,0.33
4,4,0.31
4,8,0.34
4,16,0.38
4,32,0.42
4,64,0.50
4,128,0.55
4,256,0.62
4,512,0.77
4,1024,1.08
4,2048,1.10
4,4096,2.62
4,8192,2.91
4,16384,5.67
4,32768,8.44
4,65536,14.07
4,131072,25.61
4,262144,52.67
4,524288,114.92
4,1048576,224.39
6,2,0.47
6,4,0.49
6,8,0.48
6,16,0.52
6,32,0.54
6,64,0.75
6,128,0.80
6,256,0.89
6,512,1.07
6,1024,1.45
6,2048,1.60
6,4096,3.60
6,8192,4.02
6,16384,7.38
6,32768,11.03
6,65536,21.98
6,131072,39.02
6,262144,88.35
6,524288,126.58
6,1048576,353.34
8,2,0.74
8,4,0.69
8,8,0.74
8,16,0.77
8,32,0.94
8,64,1.08
8,128,1.26
8,256,1.35
8,512,1.64
8,1024,2.46
8,2048,3.53
8,4096,5.39
8,8192,9.04
8,16384,7.48
8,32768,13.84
8,65536,27.91
8,131072,47.05
8,262144,74.93
8,524288,148.43
8,1048576,467.89
10,2,0.97
10,4,0.96
10,8,0.98
10,16,1.06
10,32,1.16
10,64,1.41
10,128,1.65
10,256,1.72
10,512,2.05
10,1024,2.72
10,2048,4.03
10,4096,5.85
10,8192,10.00
10,16384,8.80
10,32768,16.79
10,65536,32.73
10,131072,69.94
10,262144,87.76
10,524288,148.38
10,1048576,592.57
12,2,0.86
12,4,0.90
12,8,0.90
12,16,0.94
12,32,1.14
12,64,1.28
12,128,1.50
12,256,1.82
12,512,2.07
12,1024,2.81
12,2048,4.41
12,4096,6.89
12,8192,11.36
12,16384,9.66
12,32768,18.50
12,65536,39.31
12,131072,67.69
12,262144,104.74
12,524288,149.03
12,1048576,779.84
14,2,0.83
14,4,0.81
14,8,0.78
14,16,0.99
14,32,1.08
14,64,1.57
14,128,1.52
14,256,1.84
14,512,2.34
14,1024,3.38
14,2048,5.47
14,4096,8.70
14,8192,14.82
14,16384,12.69
14,32768,21.65
14,65536,34.63
14,131072,65.66
14,262144,124.16
14,524288,181.68
14,1048576,900.24
16,2,1.32
16,4,1.36
16,8,1.43
16,16,1.63
16,32,2.26
16,64,2.22
16,128,2.40
16,256,2.88
16,512,3.59
16,1024,5.16
16,2048,7.69
16,4096,12.16
16,8192,20.97
16,16384,22.61
16,32768,28.50
16,65536,42.02
16,131072,123.07
16,262144,128.90
16,524288,198.48
16,1048576,275.95
18,2,2.45
18,4,2.59
18,8,2.66
18,16,3.03
18,32,3.10
18,64,3.58
18,128,3.96
18,256,4.36
18,512,5.29
18,1024,6.96
18,2048,9.92
18,4096,14.95
18,8192,24.98
18,16384,26.20
18,32768,32.26
18,65536,46.43
18,131072,95.78
18,262144,147.37
18,524288,216.79
18,1048576,281.98
20,2,2.23
20,4,2.32
20,8,2.38
20,16,2.72
20,32,3.29
20,64,3.47
20,128,3.83
20,256,4.50
20,512,5.39
20,1024,7.22
20,2048,10.50
20,4096,16.83
20,8192,29.18
20,16384,31.23
20,32768,38.57
20,65536,61.45
20,131072,94.24
20,262144,136.74
20,524288,170.01
20,1048576,302.30
22,2,2.05
22,4,2.10
22,8,2.15
22,16,2.82
22,32,3.12
22,64,3.30
22,128,3.87
22,256,4.51
22,512,5.55
22,1024,7.48
22,2048,11.73
22,4096,19.42
22,8192,33.62
22,16384,36.41
22,32768,42.54
22,65536,98.73
22,131072,130.45
22,262144,143.74
22,524288,225.49
22,1048576,310.49
24,2,1.91
24,4,2.12
24,8,2.45
24,16,2.59
24,32,2.90
24,64,3.12
24,128,3.79
24,256,4.40
24,512,5.81
24,1024,8.24
24,2048,12.71
24,4096,21.85
24,8192,38.56
24,16384,41.61
24,32768,45.24
24,65536,88.53
24,131072,104.41
24,262144,144.72
24,524288,174.83
24,1048576,315.63
26,2,1.78
26,4,1.85
26,8,2.07
26,16,2.21
26,32,2.69
26,64,2.94
26,128,3.53
26,256,4.22
26,512,5.94
26,1024,9.15
26,2048,14.08
26,4096,23.89
26,8192,43.65
26,16384,45.65
26,32768,42.96
26,65536,50.73
26,131072,97.07
