Size,Time_bintree,Time_chain
2,0.069614,0.016857
4,0.005086,0.015309
8,0.004963,0.015328
16,0.004961,0.015183
32,0.005035,0.015191
64,0.004944,0.015212
128,0.004913,0.015247
256,0.004927,0.015177
512,0.005087,0.015141
1024,0.005029,0.015252
2048,0.004833,0.015289
4096,0.004884,0.015184
8192,0.004935,0.015043
16384,0.004871,0.015178
32768,0.004960,0.015137
65536,0.004884,0.015131
131072,0.005053,0.015004
262144,0.005000,0.015070
524288,0.004954,0.015148
1048576,0.005006,0.015258
