Size,Time_bintree,Time_chain
2,0.033480,0.187508
4,0.006162,0.159453
8,0.016183,0.161478
16,0.006806,0.156726
32,0.006480,0.156500
64,0.006449,0.148488
128,0.006374,0.149930
256,0.006561,0.293614
512,0.006123,0.149607
1024,0.006121,0.165697
2048,0.017486,0.155039
4096,0.006146,0.151497
8192,0.006075,0.145106
16384,0.006118,0.150526
32768,0.006120,0.161289
65536,0.005802,0.141939
131072,0.006094,0.141396
262144,0.006457,0.167351
524288,0.006133,0.153545
1048576,0.006099,0.141848
