warmup, barrrier, reduce
Size,Time_bintree,Time_chain
2,0.019097,0.164868
4,0.016655,0.155922
8,0.017064,0.147744
16,0.016768,0.146978
32,0.018694,0.148814
64,0.017776,0.170507
128,0.018864,0.180069
256,0.017124,0.149534
512,0.018151,0.146316
1024,0.017266,0.144916
2048,0.016983,0.146431
4096,0.019492,0.144727
8192,0.016982,0.145370
16384,0.016737,0.152184
32768,0.017046,0.146684
65536,0.016798,0.146334
131072,0.017156,0.148377
262144,0.017193,0.147097
524288,0.022283,0.155761
1048576,0.019102,0.168286
