Processes,Size,Latency
38,2048,17.52
38,4096,24.06
38,8192,36.47
38,16384,30.94
38,32768,52.19
38,65536,105.62
38,131072,218.35
38,262144,431.31
38,524288,849.10
38,1048576,1507.42
40,2,5.08
40,4,5.09
40,8,5.17
40,16,5.08
40,32,5.38
40,64,5.49
40,128,10.03
40,256,10.43
40,512,10.89
40,1024,14.75
40,2048,18.20
40,4096,25.29
40,8192,37.25
40,16384,30.90
40,32768,52.67
40,65536,102.46
40,131072,222.50
40,262144,436.22
40,524288,846.89
40,1048576,1669.54
42,2,5.09
42,4,5.05
42,8,5.01
42,16,5.07
42,32,5.39
42,64,5.43
42,128,10.07
42,256,10.52
42,512,10.82
42,1024,14.59
42,2048,18.84
42,4096,25.54
42,8192,39.19
42,16384,31.29
42,32768,53.60
42,65536,105.00
42,131072,226.48
42,262144,444.40
42,524288,898.98
42,1048576,1605.49
44,2,5.10
44,4,5.01
44,8,4.95
44,16,5.20
44,32,5.22
44,64,5.39
44,128,9.95
44,256,10.52
44,512,11.02
44,1024,14.73
44,2048,19.09
44,4096,27.04
44,8192,40.11
44,16384,31.12
44,32768,54.29
44,65536,104.40
44,131072,229.65
44,262144,461.71
44,524288,833.53
44,1048576,1776.17
46,2,5.17
46,4,5.14
46,8,5.10
46,16,5.19
46,32,5.33
46,64,5.70
46,128,10.19
46,256,10.77
46,512,11.32
46,1024,15.19
46,2048,19.03
46,4096,26.72
46,8192,40.84
46,16384,31.63
46,32768,54.28
46,65536,108.30
46,131072,244.05
46,262144,487.18
46,524288,961.97
46,1048576,1780.69
48,2,5.20
48,4,5.13
48,8,5.21
48,16,5.21
48,32,5.51
48,64,5.53
48,128,10.44
48,256,10.89
48,512,11.22
48,1024,15.51
48,2048,20.21
48,4096,27.49
48,8192,42.80
48,16384,32.79
48,32768,53.66
48,65536,110.21
48,131072,253.97
48,262144,471.93
48,524288,1019.19
48,1048576,1963.32
