processes,size,bintree,chain,flat
2,1024,1.366,1.354,1.342
4,1024,4.619,8.818,5.022
6,1024,7.643,15.809,7.869
8,1024,7.094,21.046,10.992
10,1024,12.428,29.628,18.682
12,1024,11.3,35.066,17.367
14,1024,12.035,40.806,19.239
16,1024,12.67,50.442,26.755
18,1024,12.855,56.729,27.922
20,1024,13.488,62.875,29.77
22,1024,15.277,69.595,32.007
24,1024,15.328,73.905,34.654
26,1024,17.601,79.617,37.5
28,1024,22.303,86.77,38.567
30,1024,17.507,93.015,39.425
32,1024,50.447,103.73,43.675
34,1024,44.228,108.326,42.804
36,1024,42.141,114.74,44.643
38,1024,20.871,122.038,46.594
40,1024,35.717,131.609,49.575
42,1024,27.9,135.212,50.242
44,1024,25.468,141.936,55.066
46,1024,25.907,155.456,56.185
48,1024,25.313,160.437,56.598
50,1024,27.089,175.253,60.201
52,1024,28.862,191.651,60.869
54,1024,27.775,197.742,62.826
56,1024,30.345,196.282,62.015
58,1024,30.99,199.689,63.887
60,1024,30.547,196.915,59.059
62,1024,31.036,204.906,58.967
64,1024,40.168,209.535,59.896
66,1024,27.532,217.175,59.619
68,1024,26.783,219.746,59.944
70,1024,25.992,224.418,59.953
72,1024,30.541,228.755,60.607
74,1024,33.312,241.371,61.195
76,1024,32.232,254.513,62.707
78,1024,36.542,260.183,63.37
80,1024,37.611,281.678,64.764
82,1024,37.844,281.555,65.221
84,1024,48.644,299.165,67.408
86,1024,40.326,314.74,70.086
88,1024,47.655,316.194,70.614
90,1024,45.619,330.413,72.987
92,1024,47.095,328.107,73.384
94,1024,46.114,343.798,74.605
96,1024,47.279,348.471,76.673
