Processes,Size,Latency
2,2,0.15
2,4,0.15
2,8,0.16
2,16,0.16
2,32,0.15
2,64,0.15
2,128,0.23
2,256,0.23
2,512,0.26
2,1024,0.30
2,2048,0.32
2,4096,0.42
2,8192,0.57
2,16384,3.71
2,32768,4.38
2,65536,5.98
2,131072,10.14
2,262144,21.22
2,524288,44.78
2,1048576,86.91
4,2,0.18
4,4,0.18
4,8,0.18
4,16,0.19
4,32,0.18
4,64,0.18
4,128,0.32
4,256,0.33
4,512,0.38
4,1024,0.40
4,2048,0.51
4,4096,0.71
4,8192,1.10
4,16384,6.01
4,32768,7.68
4,65536,10.21
4,131072,16.81
4,262144,34.80
4,524288,74.33
4,1048576,148.57
8,2,0.88
8,4,0.86
8,8,0.91
8,16,0.90
8,32,0.97
8,64,0.99
8,128,1.28
8,256,1.31
8,512,1.45
8,1024,1.75
8,2048,2.10
8,4096,2.98
8,8192,4.94
8,16384,12.39
8,32768,18.07
8,65536,36.01
8,131072,72.26
8,262144,147.17
8,524288,279.63
8,1048576,567.37
16,2,1.15
16,4,1.08
16,8,1.07
16,16,1.13
16,32,1.59
16,64,1.37
16,128,1.73
16,256,1.82
16,512,2.11
16,1024,2.28
16,2048,3.01
16,4096,5.34
16,8192,10.15
16,16384,17.84
16,32768,31.53
16,65536,60.20
16,131072,118.41
16,262144,236.88
16,524288,464.35
16,1048576,898.19
32,2,2.10
32,4,1.90
32,8,1.69
32,16,1.74
32,32,1.82
32,64,1.79
32,128,2.61
32,256,2.63
32,512,2.93
32,1024,3.25
32,2048,4.51
32,4096,8.38
32,8192,16.34
32,16384,29.07
32,32768,53.74
32,65536,104.90
32,131072,208.45
32,262144,412.38
32,524288,815.39
32,1048576,1550.38
64,2,1.71
64,4,1.83
64,8,1.68
64,16,1.69
64,32,2.03
64,64,2.06
64,128,2.84
64,256,3.10
64,512,3.48
64,1024,3.74
64,2048,5.41
64,4096,11.05
64,8192,23.02
64,16384,44.69
64,32768,83.95
64,65536,171.15
64,131072,349.63
64,262144,706.46
64,524288,1374.54
64,1048576,2268.71
128,2,2.74
128,4,2.63
128,8,2.70
128,16,2.76
128,32,2.65
128,64,2.72
128,128,4.26
128,256,4.05
128,512,5.10
128,1024,4.90
128,2048,7.84
128,4096,16.85
128,8192,33.50
128,16384,64.08
128,32768,124.38
128,65536,264.79
128,131072,590.25
128,262144,1148.49
128,524288,2164.04
128,1048576,3901.40
256,2,4.57
256,4,4.69
256,8,4.52
256,16,4.41
256,32,4.60
256,64,7.71
256,128,9.35
256,256,10.23
256,512,13.27
256,1024,16.33
256,2048,22.57
256,4096,44.29
256,8192,88.47
256,16384,176.59
256,32768,475.88
256,65536,475.52
256,131072,1009.14
256,262144,2195.64
256,524288,5591.24
256,1048576,14387.46
