Processes,Size,Latency
2,2,0.20
2,4,0.20
2,8,0.20
2,16,0.19
2,32,0.20
2,64,0.21
2,128,0.21
2,256,0.30
2,512,0.33
2,1024,0.36
2,2048,0.40
2,4096,0.46
2,8192,0.63
2,16384,0.89
2,32768,1.74
2,65536,3.11
2,131072,5.20
2,262144,9.69
2,524288,46.03
2,1048576,91.08
4,2,0.27
4,4,0.27
4,8,0.28
4,16,0.27
4,32,0.28
4,64,0.30
4,128,0.28
4,256,0.49
4,512,0.50
4,1024,0.56
4,2048,0.61
4,4096,0.79
4,8192,1.09
4,16384,1.64
4,32768,3.11
4,65536,5.51
4,131072,10.24
4,262144,18.60
4,524288,100.63
4,1048576,201.78
8,2,0.98
8,4,0.98
8,8,1.06
8,16,0.99
8,32,0.98
8,64,1.20
8,128,1.18
8,256,1.73
8,512,2.15
8,1024,1.88
8,2048,2.12
8,4096,2.76
8,8192,4.38
8,16384,8.16
8,32768,14.85
8,65536,26.31
8,131072,50.90
8,262144,112.71
8,524288,246.82
8,1048576,479.16
16,2,1.68
16,4,1.72
16,8,1.70
16,16,1.70
16,32,1.71
16,64,1.91
16,128,1.88
16,256,2.80
16,512,2.79
16,1024,3.08
16,2048,3.43
16,4096,4.64
16,8192,7.88
16,16384,15.25
16,32768,27.92
16,65536,52.89
16,131072,111.05
16,262144,222.58
16,524288,425.88
16,1048576,836.72
32,2,2.37
32,4,2.33
32,8,2.29
32,16,2.40
32,32,2.34
32,64,2.66
32,128,2.58
32,256,3.85
32,512,3.92
32,1024,4.33
32,2048,4.86
32,4096,6.52
32,8192,11.73
32,16384,22.70
32,32768,43.26
32,65536,83.02
32,131072,162.61
32,262144,333.82
32,524288,680.49
32,1048576,1318.58
64,2,2.99
64,4,2.97
64,8,2.98
64,16,2.90
64,32,2.96
64,64,3.37
64,128,3.33
64,256,4.84
64,512,5.09
64,1024,5.49
64,2048,6.26
64,4096,9.56
64,8192,16.30
64,16384,31.78
64,32768,60.71
64,65536,116.84
64,131072,225.82
64,262144,478.75
64,524288,1138.82
64,1048576,1932.14
128,2,4.69
128,4,4.43
128,8,4.70
128,16,5.53
128,32,4.71
128,64,5.61
128,128,5.86
128,256,7.05
128,512,7.27
128,1024,7.44
128,2048,7.93
128,4096,12.45
128,8192,23.00
128,16384,46.37
128,32768,92.04
128,65536,178.35
128,131072,340.37
128,262144,730.31
128,524288,1465.39
128,1048576,2875.33
256,2,7.16
256,4,7.05
256,8,6.98
256,16,7.06
256,32,7.11
256,64,8.06
256,128,11.80
256,256,13.10
256,512,14.11
256,1024,18.08
256,2048,21.75
256,4096,33.43
256,8192,59.67
256,16384,121.39
256,32768,238.99
256,65536,486.06
256,131072,1006.28
256,262144,2202.22
256,524288,5556.19
256,1048576,10137.30
